Date,Subject,Hours
07/25/2012,"created a google doc to document the developing process of simtex, report, bibtex ...",5
07/25/2012,probelese of documentation,4
07/25/2012,probelese of documentation,5
07/25/2012,testing phase,3
07/25/2012,Documentation about simtext and bibtext version 2,5
07/25/2012,Documentation about simtext and bibtext version 2,7
07/25/2012,Documentation about simtext and bibtext version 2,2
07/25/2012,Documentation about simtext and bibtext version 2,4
07/25/2012,Documentation about simtext and bibtext version 2,6
07/25/2012,Skype Meeting 23.07.2012 \& 25.07.2012,1
07/25/2012,Latex tutorial ,4
07/23/2012,documentation 1. version,6
07/23/2012,documentation 1. version,5
07/23/2012,preperation for showtime,6
07/19/2012,Skype Meeting 19.07.2012,0.5
07/12/2012,meeting 11.07.2012 - preparation for showtime,3
07/12/2012,meeting 12.07.2012 - preparation for showtime (cont.),4
07/12/2012,Meeting  Showtime Preperation,2
07/23/2012,Skype Meeting  Showtime Vorbereitung,1
07/08/2012,Skype Meeting  Showtime Vorbereitung,1
07/23/2012,created first concept of the brochure and content of the describing poster for the showtime,2
07/23/2012,Meeting 2012-06-29,2
07/08/2012,Meeting 2012-06-29,2
07/01/2012,Debbie Meeting 18.06.12 ,1.5
07/01/2012,Meeting 2012-06-11,1.5
07/25/2012,Improvement of bibtex infos,5
06/18/2012,Improvement of bibtex infos,7
06/15/2012,Improvement of bibtex infos,7
06/15/2012,"""Debbie Meeting"" 01.06.12",1
06/15/2012,Skype Meeting 31.05.12,1
05/29/2012,Skype Meeting 28.05.12,1.2
07/25/2012,create a form for Bibtex,4
06/05/2012,create a form for Bibtex,10
05/29/2012,create a form for Bibtex,4
05/24/2012,create a form for Bibtex,6
05/29/2012,Debbie Meeting 2012-05-14,1.5
05/09/2012,Meeting 2012-05-07,3
05/03/2012,Skype Meeting 3.05.12,1.3
05/14/2012,Implement a simple-report,20
05/09/2012,Implement a simple-report,10
05/04/2012,Implement a simple-report,3
05/09/2012,Add source information to simtext php information,0.25
05/01/2012,Debbie Meeting 30.04.12,2
05/01/2012,Skype Meeting 29.04.12,2
04/29/2012,Skype Meeting 29.04.12,2
04/29/2012,implementing simtext compare function in fragment form,10
04/27/2012,implementing simtext compare function in fragment form,4
04/27/2012,implementing simtext compare function in fragment form,4.5
04/24/2012,implementing simtext compare function in fragment form,4.5
04/23/2012,Team Meeting 23.04.12,3
04/23/2012,Skype Meeting 20.04.12,2
04/16/2012,Team Meeting  2012-04-16,3.5
04/23/2012,Implementing Sim-Text in PHP based on the Javascript version,4
04/20/2012,Implementing Sim-Text in PHP based on the Javascript version,10
04/16/2012,Implementing Sim-Text in PHP based on the Javascript version,3
04/16/2012,Implementing Sim-Text in PHP based on the Javascript version,5
04/12/2012,create a documentation on google doc for documenting recent activities,0.5
04/12/2012,Meeting 12.04.12,2
04/12/2012,Debbie Meeting 11.04.2012,1
04/12/2012,create Wiki page for MeetingMinutes 11.04.2012,0.5
04/14/2012,research about the work process of simtext and the simtext javascript class at vroniplag,4
04/14/2012,research about the work process of simtext and the simtext javascript class at vroniplag,2
04/12/2012,research about the work process of simtext and the simtext javascript class at vroniplag,3
04/12/2012,"wiki entry about to create fragments, taken from vroniplag wiki",0.5
